Judging from previous posts this used to be a good place, but not any longer.	place	RESTAURANT	negative
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff	SERVICE	negative
They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	NULL	SERVICE	negative
The food was lousy - too sweet or too salty and the portions tiny.	food	FOOD	negative
The food was lousy - too sweet or too salty and the portions tiny.	portions	FOOD	negative
After all that, they complained to me about the small tip.	NULL	SERVICE	negative
Avoid this place!	place	RESTAURANT	negative
I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	FOOD	positive
Saul is the best restaurant on Smith Street and in Brooklyn.	Saul	RESTAURANT	positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.	foie gras terrine with figs	FOOD	positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.	duck confit	FOOD	positive
The wine list is interesting and has many good values.	wine list	DRINKS	positive
The wine list is interesting and has many good values.	wine list	DRINKS	positive
For the price, you cannot eat this well in Manhattan.	NULL	RESTAURANT	positive
For the price, you cannot eat this well in Manhattan.	NULL	FOOD	positive
I was very disappointed with this restaurant.	restaurant	RESTAURANT	negative
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	cart attendant	SERVICE	negative
I had to ask her three times before she finally came back with the dish Ive requested.	NULL	SERVICE	negative
Food was okay, nothing great.	Food	FOOD	neutral
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun	FOOD	negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	pork shu mai	FOOD	negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	NULL	AMBIENCE	negative
I/we will never go back to this place again.	place	RESTAURANT	negative
Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish	RESTAURANT	positive
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	Service	SERVICE	positive
